Cumulative cases,,,,,,
Date generated: Tue Oct 13 2020 11:58:29 GMT-0500 (Central Daylight Time),,,,,,
,,,,,,
Day,CA,FL,IL,NC,TX,WI
1,135,142,160,164,401,155
2,152,195,288,227,507,206
3,175,299,422,255,507,281
4,224,393,585,398,507,381
5,264,510,753,504,715,416
6,311,706,1049,636,974,457
7,369,937,1285,764,1396,585
8,447,1141,1535,764,1731,707
9,596,1373,1865,935,2052,842
10,652,1861,2538,1307,2552,989
11,982,2352,3026,1498,2877,989
12,1304,3054,3491,1584,3266,1221
13,1534,3877,4596,1857,3997,1351
14,1709,4768,5057,2093,4669,1550
15,1931,5489,5994,2093,5330,1730
16,2511,6490,6980,2402,6110,1916
17,2982,7495,7695,2870,6812,2112
18,3777,8694,8904,2870,7276,2267
19,4730,9925,10357,3221,8262,2440
20,5259,11173,11256,3651,9353,2578
21,5739,11961,12262,3651,10230,2756
22,6909,13214,13549,3908,11671,2885
23,8131,14302,15078,4312,12561,3068
24,8155,15234,16422,4520,13484,3221
25,9191,16323,17887,4816,13906,3341
26,12024,17448,19180,5024,14624,3428
27,12026,18445,20852,5123,15492,3555
28,13438,19337,22025,5465,16455,3721
29,14336,20394,23247,5859,17371,3875
30,15865,20984,24593,6140,18260,4045
31,16957,21865,25733,6493,18923,4199
32,18309,22674,27575,6764,19458,4346
33,19472,24066,29160,6951,20196,4499
34,20615,24797,30357,7220,21069,4620
35,21794,25598,31508,7608,21944,4845
36,22348,26329,33059,8052,22806,5052
37,23338,27127,35108,8623,23773,5356
38,24424,27791,36934,8830,24631,5687
39,26182,28843,39658,9142,25297,5911
40,27528,29707,41777,9568,26171,6081
41,28963,29996,43903,9948,27054,6289
42,28963,30680,45883,10509,28087,6520
43,30978,31290,48102,10923,29229,6854
44,33261,31986,50355,11509,30552,7314
45,35396,32318,52918,11664,31548,7660
46,37369,33690,56055,11848,32332,7964
47,39254,34728,58505,12256,33369,8236
48,41137,35463,61449,12758,34422,8566
49,42164,35969,63840,13397,35390,8901
50,43464,36897,65962,13868,36609,9215
51,45031,37439,68232,14360,37860,9590
52,46500,38002,70873,14764,38869,9939
53,48917,38828,73760,15045,39869,10219
54,50442,39199,76085,15346,41048,10418
55,52197,40001,77741,15816,42403,10611
56,53616,39888,79007,16507,43851,10902
57,54937,40982,83021,17129,45198,11275
58,56212,41923,84698,17982,46999,11685
59,58815,42402,87937,18512,47784,12187
60,60614,43210,90369,19023,48693,12543
61,62512,42940,92457,19700,49912,12687
62,64561,44811,94191,20122,51323,12885
63,66680,45588,96485,20860,52268,13431
64,67939,46442,98030,21618,53449,13885
65,69382,46944,100418,22725,54509,14396
66,71141,47471,102686,23222,55348,14877
67,73164,48675,105444,23964,55971,15277
