Cumulative deaths
Date generated: Wed Oct 14 2020 15:50:49 GMT-0500 (Central Daylight Time)

Day,CA,FL,IL,NC,TX,WI
1,119,144,157,117,127,128
2,137,170,210,131,140,137
3,151,195,243,152,154,144
4,172,221,274,164,177,154
5,172,254,307,172,199,170
6,203,296,380,179,226,182
7,270,323,462,213,254,197
8,276,371,528,242,271,205
9,319,419,596,253,287,211
10,343,446,677,269,318,220
11,374,461,720,289,364,230
12,442,499,794,299,393,242
13,492,571,868,306,428,246
14,541,614,948,342,453,257
15,609,668,1072,354,477,262
16,651,726,1134,378,495,266
17,687,748,1259,399,517,272
18,758,774,1290,420,543,281
19,821,823,1349,422,561,300
20,890,867,1468,430,593,308
21,985,927,1565,452,623,316
22,1072,987,1688,477,648,327
23,1072,1046,1795,507,663,334
24,1208,1055,1874,527,690,339
25,1268,1074,1933,544,732,340
26,1354,1088,1983,547,782,353
27,1469,1171,2125,550,816,362
28,1562,1218,2215,577,847,374
29,1651,1268,2355,597,867,384
30,1710,1314,2457,615,884,398
31,1755,1364,2559,641,906,400
32,1809,1399,2618,652,948,409
33,1887,1399,2662,659,973,418
34,1982,1471,2838,661,1004,421
35,2073,1539,2974,691,1049,434
36,2171,1600,3111,702,1088,445
37,2215,1669,3241,716,1100,453
38,2254,1715,3349,728,1133,453
39,2317,1735,3406,737,1158,459
40,2412,1735,3459,744,1216,467
41,2504,1779,3601,764,1272,481
42,2585,1827,3792,766,1305,487
43,2678,1875,3928,794,1336,496
44,2745,1917,4058,827,1347,507
45,2770,1964,4129,859,1369,510
46,2847,1973,4177,877,1419,514
47,2934,1997,4234,886,1440,517
48,3032,2052,4379,898,1480,539
49,3108,2096,4225,921,1506,550
50,3204,2144,4607,939,1519,568
51,3261,2190,4715,960,1527,588
52,3302,2233,4790,966,1536,592
53,3334,2237,4856,992,1562,595
54,3436,2252,4884,996,1601,607
55,3542,2259,4923,1006,1626,616
56,3630,2319,5083,1029,1648,626
57,3708,2364,5186,1053,1672,633
58,3774,2413,5270,1064,1678,645
59,3795,2447,5330,1092,1698,647
60,3814,2451,5390,1104,1734,646
61,3884,2460,5412,1109,1767,661
62,3973,2530,5525,1118,1788,671
63,4068,2566,5621,1154,1819,682
64,4156,2607,5736,1168,1830,695
65,4213,2660,5795,1175,1836,697
66,4251,2688,5864,1197,1853,698
67,4286,2700,5904,1212,1885,700
68,4361,2712,6102,1220,1920,709
69,4422,2765,6196,1223,1939,718
70,4485,2801,6273,1251,1957,725
71,4559,2848,6363,1271,1976,736
72,4626,2877,6441,1290,1983,751
73,4653,2925,6470,1303,2029,751
74,4697,2931,6489,1318,2062,751
75,4776,2938,6507,1322,2105,757
76,4881,2993,6579,1325,2140,764
77,4943,3018,6666,1343,2165,773
78,4989,3061,6718,1373,2182,773
79,5063,3104,6784,1343,2192,784
80,5089,3144,6829,1392,2220,784
81,5121,3161,6851,1392,2249,784
82,5208,3173,6875,1396,2296,791
83,5290,3238,6911,1398,2324,793
84,5360,3281,6974,1420,2366,800
85,5424,3327,7014,1441,2393,803
86,5495,3366,7048,1461,2403,803
87,5515,3390,7074,1479,2424,803
88,5580,3419,7089,1499,2481,803
89,5632,3447,7103,1503,2525,812
90,5733,3505,7124,1510,2575,814
91,5812,3550,7152,1552,2608,816
