Seven-day rolling average of new cases
Date generated: Wed Oct 14 2020 15:51:07 GMT-0500 (Central Daylight Time)

Day,CA,FL,IL,NC,TX,WI
1,16,17,13,17,52,14
2,17,25,20,21,66,21
3,19,39,37,30,65,28
4,25,51,55,31,64,37
5,29,68,79,51,93,50
6,36,93,103,63,127,51
7,37,114,136,77,179,52
8,44,142,168,89,190,68
9,63,168,196,85,220,78
10,68,223,225,101,292,90
11,108,279,302,150,338,101
12,148,363,348,157,364,86
13,174,453,391,154,431,115
14,191,547,506,174,467,127
15,212,621,538,189,514,137
16,273,731,637,189,579,146
17,332,804,730,209,608,153
18,399,906,736,223,628,160
19,489,981,839,196,713,182
20,532,1042,980,233,765,174
21,575,1027,951,256,794,175
22,711,1103,1029,222,905,172
23,802,1116,1079,259,921,165
24,739,1105,1156,272,953,164
25,773,1089,1246,235,947,158
26,1042,1074,1283,278,908,153
27,966,1038,1260,257,877,141
28,1099,1053,1370,210,889,139
29,1061,1025,1394,259,814,137
30,1104,954,1385,278,814,141
31,1257,947,1359,261,777,139
32,1302,907,1330,281,793,139
33,1064,945,1384,278,796,143
34,1227,907,1425,275,796,153
35,1193,894,1357,299,784,152
36,1144,847,1354,306,776,160
37,1067,877,1401,313,787,168
38,1066,846,1502,354,815,187
39,1124,881,1600,333,834,212
40,1150,805,1726,339,853,223
41,1192,742,1802,373,855,226
42,1024,726,1935,389,877,238
43,1232,708,2053,414,917,239
44,1417,694,2149,410,968,257
45,1567,646,2178,412,988,279
46,1598,692,2283,404,1005,281
47,1675,717,2342,386,1028,293
48,1739,781,2389,384,1052,307
49,1885,755,2506,401,1043,325
50,1783,801,2565,412,1054,340
51,1681,779,2551,420,1044,337
52,1586,812,2553,407,1045,325
53,1649,734,2565,442,1076,325
54,1598,638,2529,456,1097,322
55,1580,648,2511,441,1140,311
56,1636,576,2327,436,1208,292
57,1639,599,2166,444,1227,285
58,1597,656,2437,465,1305,294
59,1759,644,2352,517,1273,299
60,1671,642,2437,535,1260,321
61,1724,589,2372,568,1266,332
62,1766,741,2338,622,1274,324
63,1866,852,2350,615,1202,324
64,1857,818,2496,621,1178,361
65,1881,755,2144,641,1072,372
66,1760,762,2245,677,1080,387
67,1792,819,2107,672,1039,384
68,1774,930,2153,705,949,390
69,1747,759,2191,634,942,413
70,1737,754,2301,643,1072,425
71,1784,757,2218,650,1079,433
72,1773,758,2166,695,1118,441
73,1845,737,1984,706,1277,473
