Seven-day rolling average of new deaths
Date generated: Wed Oct 14 2020 15:51:20 GMT-0500 (Central Daylight Time)

Day,CA,FL,IL,NC,TX,WI
1,3,6,4,3,4,3
2,4,6,5,5,4,6
3,4,7,8,7,4,7
4,6,9,8,6,6,9
5,6,11,11,7,7,10
6,11,16,17,8,9,10
7,13,17,18,6,11,11
8,15,19,25,7,13,13
9,16,23,28,8,14,11
10,18,26,29,7,16,10
11,16,30,33,9,17,11
12,19,31,40,11,18,11
13,23,32,45,12,19,11
14,22,35,53,13,21,12
15,26,35,55,13,20,11
16,27,34,62,15,21,10
17,28,35,63,17,23,10
18,38,39,69,17,26,10
19,41,41,69,16,27,10
20,38,42,69,17,28,9
21,47,43,77,18,28,8
22,47,43,76,18,29,8
23,49,44,83,18,29,7
24,54,46,81,16,28,7
25,54,42,79,17,25,7
26,56,44,85,18,24,8
27,63,45,88,18,23,8
28,66,45,88,17,24,8
29,60,43,94,17,24,9
30,74,42,87,15,24,9
31,72,37,91,17,24,9
32,76,43,90,18,27,8
33,82,41,93,18,31,7
34,82,40,92,17,31,7
35,82,38,95,17,32,8
36,91,44,94,17,31,8
37,78,46,97,17,31,9
38,77,44,97,17,30,8
39,76,42,97,15,30,9
40,73,45,101,16,27,9
41,73,47,108,15,26,8
42,74,50,108,16,28,8
43,72,50,112,15,31,8
44,71,48,112,16,30,7
45,72,48,112,15,32,7
46,75,44,113,14,30,7
47,74,41,109,12,34,7
48,73,39,116,12,38,8
49,72,35,116,12,36,7
50,75,35,116,14,35,7
51,73,34,111,10,35,7
52,75,37,110,13,33,8
53,74,39,110,15,37,7
54,75,38,111,18,32,7
55,74,38,83,20,29,8
56,75,39,119,20,28,9
57,73,38,115,19,26,10
58,76,37,116,22,25,11
59,69,36,119,20,23,11
60,71,29,114,19,20,11
61,72,31,99,15,23,12
62,74,31,122,16,20,11
63,72,31,82,15,20,10
64,73,30,79,15,21,9
65,70,30,77,15,21,8
66,68,29,76,16,23,7
67,64,38,75,14,24,7
68,61,35,86,18,23,7
69,62,34,76,16,23,8
70,64,35,78,16,24,8
71,62,34,75,16,22,9
72,65,35,76,17,22,7
73,67,36,73,16,22,7
74,68,33,98,15,21,7
75,64,33,95,15,21,6
76,59,34,93,15,21,6
77,57,31,89,15,19,6
78,59,33,92,15,20,5
79,57,33,86,13,21,7
80,58,32,83,14,25,7
81,59,32,57,16,25,7
